Timestamp,Emotion
287394590.1904,DISCOMFORT
287394723.5238,NEUTRAL
287394956.8571,SURPRISE or ANGER
287395090.1904,SHOCK
287395223.5238,DISCOMFORT
287395356.8571,NEUTRAL
287395390.1904,SURPRISE or ANGER
287395623.5238,SHOCK
287395756.8571,NEUTRAL
287395890.1904,SURPRISE or ANGER
287396023.5238,SHOCK
287396156.8571,SURPRISE
287396290.1904,NEUTRAL
287396423.5238,SURPRISE or ANGER
287396556.8571,SHOCK
287396690.1904,SURPRISE
287396823.5238,NEUTRAL
287396956.8571,SURPRISE or ANGER
287397090.1904,SHOCK
287397223.5238,NEUTRAL
287397356.8571,SURPRISE or ANGER
287397490.1904,SHOCK
287397623.5238,NEUTRAL
287397756.8571,SURPRISE or ANGER
287397890.1904,SHOCK
287398023.5238,SAD
287398156.8571,SURPRISE or ANGER
287398290.1904,SHOCK
287398423.5238,SURPRISE
287398556.8571,SAD
287398690.1904,SURPRISE or ANGER
287398823.5238,SHOCK
287398956.8571,SURPRISE
287399090.1904,DISCOMFORT
287399323.5238,SAD
287399356.8571,SURPRISE or ANGER
287399490.1904,SHOCK
287399623.5238,DISCOMFORT
287399756.8571,SAD
287399890.1904,SURPRISE or ANGER
287400023.5238,SHOCK
287400156.8571,SURPRISE
287400290.1904,NEUTRAL
287400423.5238,SURPRISE or ANGER
287400556.8571,SHOCK
287400690.1904,NEUTRAL
287400823.5238,SURPRISE or ANGER
287400956.8571,SHOCK
287401090.1904,NEUTRAL
287401223.5238,SURPRISE or ANGER
287401356.8571,SHOCK
287401490.1904,SURPRISE
287401623.5238,NEUTRAL
287401756.8571,SURPRISE or ANGER
287401890.1904,SHOCK
287402023.5238,SURPRISE
287402156.8571,NEUTRAL
287402290.1904,SURPRISE or ANGER
287402423.5238,SHOCK
287402556.8571,NEUTRAL
287402690.1904,SURPRISE or ANGER
287402823.5238,SHOCK
287402956.8571,DISCOMFORT
287403090.1904,NEUTRAL
287403223.5238,SURPRISE or ANGER
287403356.8571,SHOCK
287403490.1904,SAD
287403623.5238,SURPRISE or ANGER
287403756.8571,SHOCK
287403890.1904,DISCOMFORT
287404023.5238,NEUTRAL
287404156.8571,SURPRISE or ANGER
287404290.1904,SHOCK
287404523.5238,DISCOMFORT
287404656.8571,NEUTRAL
287404790.1904,SURPRISE or ANGER
287404923.5238,SHOCK
287405056.8571,SAD
287405290.1904,SURPRISE or ANGER
287405423.5238,SHOCK
287405556.8571,DISCOMFORT
287405690.1904,NEUTRAL
287405823.5238,SURPRISE or ANGER
287405956.8571,SHOCK
287406090.1904,SURPRISE
287406223.5238,NEUTRAL
287406356.8571,SURPRISE or ANGER
287406490.1904,SHOCK
287406623.5238,SURPRISE
287406756.8571,NEUTRAL
287406890.1904,SURPRISE or ANGER
287407023.5238,SHOCK
287407056.8571,NEUTRAL
287407090.1904,SURPRISE or ANGER
287407223.5238,SHOCK
287407356.8571,NEUTRAL
287407490.1904,SURPRISE or ANGER
287407523.5238,SHOCK
287407656.8571,NEUTRAL
287407690.1904,SURPRISE or ANGER
287407823.5238,SHOCK
287407956.8571,DISCOMFORT
287408090.1904,NEUTRAL
287408223.5238,SURPRISE or ANGER
287408356.8571,SHOCK
287408590.1904,DISCOMFORT
287408623.5238,NEUTRAL
287408756.8571,SURPRISE or ANGER
287408890.1904,SHOCK
287409023.5238,NEUTRAL
287409156.8571,SURPRISE or ANGER
287409390.1904,SHOCK
287409523.5238,NEUTRAL
287409656.8571,SURPRISE or ANGER
287409790.1904,SHOCK
287410023.5238,SAD
287410156.8571,SURPRISE or ANGER
287410290.1904,SHOCK
287410423.5238,SAD
287410556.8571,SURPRISE or ANGER
287410690.1904,SHOCK
287410823.5238,NEUTRAL
287410956.8571,SURPRISE or ANGER
287411190.1904,SHOCK
287411323.5238,SAD
287411456.8571,SURPRISE or ANGER
287411690.1904,SHOCK
287411823.5238,DISCOMFORT
287411956.8571,SAD
287412090.1904,SURPRISE or ANGER
287412223.5238,SHOCK
287412256.8571,SAD
287412390.1904,SURPRISE or ANGER
287412423.5238,SHOCK
287412556.8571,DISCOMFORT
287412690.1904,SAD
287412723.5238,SURPRISE or ANGER
287412856.8571,SHOCK
287412890.1904,DISCOMFORT
287413023.5238,SAD
287413156.8571,SURPRISE or ANGER
287413290.1904,SHOCK
287413323.5238,DISCOMFORT
287413456.8571,SAD
287413490.1904,SURPRISE or ANGER
287413623.5238,SHOCK
287413756.8571,SURPRISE
287413890.1904,DISCOMFORT
287413923.5238,SAD
287414056.8571,SURPRISE or ANGER
287414090.1904,SHOCK
287414223.5238,SURPRISE
287414356.8571,SAD
287414490.1904,SURPRISE or ANGER
287414523.5238,SHOCK
287414556.8571,DISCOMFORT
287414690.1904,SAD
287414823.5238,SURPRISE or ANGER
287414956.8571,SHOCK
287415090.1904,SURPRISE
287415223.5238,DISCOMFORT
287415356.8571,SAD
287415490.1904,SURPRISE or ANGER
287415623.5238,SHOCK
287415756.8571,DISCOMFORT
287415890.1904,SAD
287416023.5238,SURPRISE or ANGER
287416156.8571,SHOCK
287416290.1904,SURPRISE
287416423.5238,DISCOMFORT
287416556.8571,SAD
287416790.1904,SURPRISE or ANGER
287416823.5238,SHOCK
287416956.8571,DISCOMFORT
287417090.1904,SAD
287417223.5238,SURPRISE or ANGER
287417356.8571,SHOCK
287417590.1904,DISCOMFORT
287417723.5238,SAD
287417856.8571,SURPRISE or ANGER
287417890.1904,SHOCK
287418023.5238,SAD
287418156.8571,SURPRISE or ANGER
287418290.1904,SHOCK
287418423.5238,SAD
287418656.8571,SURPRISE or ANGER
287418790.1904,SHOCK
287418923.5238,SAD
287419056.8571,SURPRISE or ANGER
